,0
alpha,0.0009163060872880343
beta1,0.6383222007578983
ese_alpha,0.26909896561287455
ese_beta1,0.3353170966134402
auc,0.6151078484884714
accuracy,0.5476190476190474
recall,0.5267001125104317
precision,0.8535974667553615
f1_score,0.649949691269124
mcc,0.11902749599829544
